ABA DE ORIGEM,LINHA,VIATURA ENCONTRADA,TIPO DE SERVIÇO,CONTEÚDO DA LINHA
MANUTENÇAO_2026,3,UR-17102,EMBREAGEM,"***** 4387 ***** UR-17102 ***** 1.FORNECERESUBSTITUIRKITDEEMBREAGEMORIGINAL-CONFORMEESPECIFICAÇÃODOFABRICANTE;
2.FORNECERESUBSTITUIRATROCADOÓLEODATRANSMISSSÃO;
3.FORNECERESUBSTITUIRATUADORDEEMBREAGEM;
4FORNECERESUBSTITUIRRETENTORVOLANTEMOTOR;
5.FORNECERESUBSTITUIRVOLANTEDOMOTOR. CORRETIVA ***** R$- CANCELADONANEO OSPARADASEMAPROVAÇÃOAMAISDE3MESES,ESTAMOSCANCELANDO,CASOSEFAÇANECESSÁRIOABRIRUMANOVAOS"
MANUTENÇAO_2026,9,UR-17212,EMBREAGEM,"***** 4970  UR-17212  1.FORNECERESUBSTITUIRKITDEEMBREAGEMORIGINAL-CONFORMEESPECIFICAÇÃODOFABRICANTE;
2.FORNECERESUBSTITUIRATROCADOÓLEODATRANSMISSSÃO;
3.FORNECERESUBSTITUIRATUADORDEEMBREAGEM;
4FORNECERESUBSTITUIRRETENTORVOLANTEMOTOR;
5.FORNECERESUBSTITUIRVOLANTEDOMOTOR. CORRETIVA   PENDENTENANEO "
MANUTENÇAO_2026,15,UR-17211,PNEU,"***** 5166  UR-17211  1.SUBSTITUIRQUATROPNEUS(OSPNEUSSERÃOFORNECIDOSPELOCORPODEBOMBEIROS17ºGB);
2.FORNECERESUBSTITUIRQUATROVÁLVULASDEPNEUCONFORMEESPECIFICAÇÃODOFABRICANTE;
3.FORNECEREEXECUTARQUATROBALANCEAMENTOS;
4EXECUTARALINHAMENTODEDIREÇÃO. CORRETIVA BHB R$587,63 APROVADONANEO "
MANUTENÇAO_2026,16,UR-17208,PNEU,"***** 5168 ***** UR-17208 ***** 1.	FORNECERESUBSTITUIRRODASFONICASESENSORES,CONFORMEESPECIFICAÇÃODOVEÍCULO;
2.	FORNECEREEXECUTARALINHAMENTODEDIREÇÃO;
3.	FORNECERESUBSTITUIR04BALANCEAMENTOSDEPNEUS. CORRETIVA ***** R$- CANCELADONANEO ERRONASOLICITAÇÃODESERVIÇOS"
MANUTENÇAO_2026,25,UR-17214,EMBREAGEM,"***** 5233  UR-17214  FORNECEREEXECUTARATROCADE02SENSORESDOPEDALDAEMBREAGEM,SUPERIOREINFERIOR. CORRETIVA BFDIESEL R$1.456,76 APROVADONANEO "
MANUTENÇAO_2026,30,UR-17214,EMBREAGEM,"***** 5245 ***** UR-17214 ***** 1.FORNECERESUBSTITUIRKITDEEMBREAGEMORIGINAL-CONFORMEESPECIFICAÇÃODOFABRICANTE;
2.FORNECERESUBSTITUIRATROCADOÓLEODATRANSMISSSÃO;
3.FORNECERESUBSTITUIRATUADORDEEMBREAGEM;
4FORNECERESUBSTITUIRRETENTORVOLANTEMOTOR;
5.FORNECERESUBSTITUIRVOLANTEDOMOTOR;
6.FORNECERSERVIÇODEGUINCHO.(LOCALIZAÇÃODOVEÍCULO:R.REGINACABALAUMENDONÇA,364-JARDIMJAPAO,SUZANO) CORRETIVA ***** R$- CANCELADONANEO VEÍCULOCOMDIAGNÓSTICOERRADO."
MANUTENÇAO_2026,38,UR-17208,PNEU,"***** 5316  UR-17208  1.FORNECERESUBSTITUIRQUATROPNEUS225/65R16FIRESTONECONFORMEESPECIFICAÇÃODOVEÍCULO;
2.FORNECERESUBSTITUIRQUATROVÁLVULASDEPNEUCONFORMEESPECIFICAÇÃODOVEÍCULO;
3.FORNECEREEXECUTARQUATROBALANCEAMENTOS;
4EXECUTARALINHAMENTODEDIREÇÃO. PREVENTIVA   PENDENTENANEO "
 MANUTENÇÃO-2025,2,GMT-0800,PNEU,"351 2887 MON JAN 06 2025 19:00:00 GMT-0800 (PACIFIC STANDARD TIME) MOB-17102 81462 1.SUBSTITUIR02PNEUSQUESERÃOFORNECIDOSPELO17ºGB;
2.FORNECERESUBSTITUIRCÂMARADEARDIANTEIROETRASEIRO;
3.FORNECERESUBSTITUIRÓLEODEMOTORCONFORMEESPECIFICAÇÃODOFABRICANTE;
4FORNECERESUBSTITUIRFILTRODEÓLEODEMOTOCONFORMEESPECIFICAÇÃODOFABRICANTE;
5.FORNECERESUBSTITUIRFILTRODEARCONFORMEESPECIFICAÇÃODOFABRICANTE;
6.SUBSTITUIRPASTILHASDEFREIODIANTEIROQUESERÃOFORNECIDASPELO17ºGB. PREVENTIVA TOTALMOTOS R$1.166,13 FINALIZADONANEO "
 MANUTENÇÃO-2025,30,GMT-0700,PNEU,"***** 3049 TUE APR 08 2025 20:00:00 GMT-0700 (PACIFIC DAYLIGHT TIME) MO-17001 161328 1.FORNECERESUBSTITUIR,04(DOIS)PNEUSDEPRIMEIRALINHA,MARCAGOODYEAR-205/75R16;
2.FORNECERESUBSTITUIR,04BICOSDEAR
3.FORNECEREEXECUTAR,ALINHAMENTOEBALANCEAMENTO. PREVENTIVA BHB R$6.177,90 FINALIZADONANEO "
 MANUTENÇÃO-2025,31,UR-17214,PNEU,"***** 3055 ***** UR-17214 ***** 1.FORNECERESUBSTITUIR,04(QUATRO)PNEUSDEPRIMEIRALINHAMARCAFIRESTONECV5000-225/75R16-121/120R;
2.FORNECERESUBSTITUIR,04(QUATRO)BICODEAR.
3.FORNECEREEXECUTAR,ALINHAMENTOEBALANCEAMENTO. PREVENTIVA ***** R$- CANCELADONANEO SERVIÇOREALIZADOCOMRECURSOPRÓRPIO."
