PREFIXO,VALORFIPE,GASTOTOTAL(2026),%FIPE,STATUS
ABE-17101, R$- ,"R$ 0,00",0.00%,✅OK
ABS-17101," R$332.434,00 ","R$ 0,00",0.00%,✅OK
ABS-17102," R$172.656,00 ","R$ 3.270,06",1.89%,✅OK
ABS-17103," R$165.020,00 ","R$ 0,00",0.00%,✅OK
ABS-17105," R$332.434,00 ","R$ 0,00",0.00%,✅OK
ABS-17106," R$349.923,00 ","R$ 0,00",0.00%,✅OK
ABS-17201," R$367.988,00 ","R$ 0,00",0.00%,✅OK
ABS-17202," R$165.020,00 ","R$ 0,00",0.00%,✅OK
ABS-17203," R$424.818,00 ","R$ 0,00",0.00%,✅OK
ABS-17204," R$173.297,00 ","R$ 0,00",0.00%,✅OK
ABS-17205," R$332.434,00 ","R$ 13.544,01",4.07%,✅OK
AC-17001," R$163.147,00 ","R$ 17.204,08",10.55%,✅OK
AC-17002," R$116.487,00 ","R$ 3.418,52",2.93%,✅OK
AS-17201," R$145.046,00 ","R$ 0,00",0.00%,✅OK
AT-17101," R$529.464,00 ","R$ 0,00",0.00%,✅OK
AT-17205," R$390.389,00 ","R$ 0,00",0.00%,✅OK
CA-17001," R$93.385,00 ","R$ 0,00",0.00%,✅OK
EP-17101," R$106.555,00 ","R$ 0,00",0.00%,✅OK
EP-17201," R$106.555,00 ","R$ 0,00",0.00%,✅OK
MO-17001," R$88.530,00 ","R$ 0,00",0.00%,✅OK
MO-17002," R$283.260,00 ","R$ 0,00",0.00%,✅OK
MOB-17106," R$12.410,00 ","R$ 0,00",0.00%,✅OK
MOB-17107," R$12.410,00 ","R$ 0,00",0.00%,✅OK
MOB-17108," R$12.410,00 ","R$ 0,00",0.00%,✅OK
MOB-17205," R$12.410,00 ","R$ 0,00",0.00%,✅OK
MOB-17206," R$23.766,00 ","R$ 0,00",0.00%,✅OK
MOB-17207," R$23.766,00 ","R$ 0,00",0.00%,✅OK
TP-17000," R$106.555,00 ","R$ 0,00",0.00%,✅OK
TP-17001," R$87.620,00 ","R$ 0,00",0.00%,✅OK
TP-17101," R$29.335,00 ","R$ 0,00",0.00%,✅OK
TP-17200," R$106.555,00 ","R$ 0,00",0.00%,✅OK
TP-17203," R$35.392,00 ","R$ 0,00",0.00%,✅OK
UR-17101," R$216.484,00 ","R$ 0,00",0.00%,✅OK
UR-17102," R$225.120,00 ","R$ 0,00",0.00%,✅OK
UR-17105," R$211.203,00 ","R$ 0,00",0.00%,✅OK
UR-17208," R$150.091,00 ","R$ 0,00",0.00%,✅OK
UR-17210," R$168.000,00 ","R$ 0,00",0.00%,✅OK
UR-17211," R$211.203,00 ","R$ 0,00",0.00%,✅OK
UR-17212," R$211.203,00 ","R$ 0,00",0.00%,✅OK
UR-17213," R$216.484,00 ","R$ 0,00",0.00%,✅OK
UR-17214," R$225.120,00 ","R$ 0,00",0.00%,✅OK
UT-17003," R$69.278,00 ","R$ 0,00",0.00%,✅OK
UT-17004," R$108.573,00 ","R$ 0,00",0.00%,✅OK
VO-17001," R$125.007,00 ","R$ 0,00",0.00%,✅OK
VO-17003," R$177.197,00 ","R$ 0,00",0.00%,✅OK
VO-17004," R$97.628,00 ","R$ 0,00",0.00%,✅OK
VO-17007," R$32.447,00 ","R$ 0,00",0.00%,✅OK
VO-17100," R$108.516,00 ","R$ 0,00",0.00%,✅OK
VO-17101," R$177.197,00 ","R$ 0,00",0.00%,✅OK
VO-17102," R$86.777,00 ","R$ 0,00",0.00%,✅OK
VO-17103," R$97.628,00 ","R$ 0,00",0.00%,✅OK
VO-17203," R$177.197,00 ","R$ 0,00",0.00%,✅OK
VO-17204," R$102.733,00 ","R$ 0,00",0.00%,✅OK
VO-17205," R$97.628,00 ","R$ 0,00",0.00%,✅OK
VO-17206," R$150.362,00 ","R$ 0,00",0.00%,✅OK
VO-28, R$- ,"R$ 0,00",0.00%,✅OK
