DATA_LIMPA,PREFIXO,KM_LIMPO,VALOR_LIMPO,SERVIÇOS,SISTEMA_FREIO,SISTEMA_PNEU,SISTEMA_MOTOR_OLEO,SISTEMA_ELETRICO,TIPO DE MANUTENÇÃO,EMPRESA,RESULTADO,FONTE_ORIGEM
2026-02-13,UR-17214,59600.0,,TROCA DE ÓLEO E FILTROS,False,False,True,False,PREVENTIVA,BF DIESEL,CONCLUÍDO,MANUTENÇÃO-2026
2026-02-11,ABS-17102,178000.0,,INSPEÇÃO DE FREIOS (PRÓXIMA INSPEÇÃO: 185.000),True,False,False,False,PREVENTIVA,BF DIESEL/ SEBINHO,CONCLUÍDO,MANUTENÇÃO-2026
2026-02-11,ABS-17102,,,INSPEÇÃO DE FREIOS (PRÓXIMA INSPEÇÃO: 185.000),True,False,False,False,,,,veiculos_manutencao_freio
2026-02-11,VO-17203,,,TROCA DAS PORCAS DAS RODAS DE LIGA LEVE (FORNECIDAS PELO VENDEDOR0,False,False,False,False,PREVENTIVA,MOTOMEC,CONCLUÍDO,MANUTENÇÃO-2026
2026-02-09,ABS-17102,178121.0,327006.0,"1.        Fornecer e substituir 02 conjunto de lona de freio fd/59 conforme especificação do fabricante;
2.        Fornecer e substituir rebites 10x12;
3.        Fornecer e substituir 04 molas do patim de freio master grande 02 corpos conforme especificação do fabricante;
4.        Fornecer e substituir 08 molas do  patim de freio master pequena 130mm conforme especificação do fabricante;
5.        Fornecer e substituir 08 roletes do patim de freio 32mm master;
6.        Fornecer e substituir 08 travas do rolete master conforme especificação do fabricante;
7.     Fornecer e substituir tambor dianteiro e traseiro lado E/D.",True,False,False,False,CORRETIVA,BF DIESEL,FINALIZADO NA NEO,MANUTENÇÃO-2026
2026-02-09,ABS-17102,,,"1.        Fornecer e substituir 02 conjunto de lona de freio fd/59 conforme especificação do fabricante;
2.        Fornecer e substituir rebites 10x12;
3.        Fornecer e substituir 04 molas do patim de freio master grande 02 corpos conforme especificação do fabricante;
4.        Fornecer e substituir 08 molas do  patim de freio master pequena 130mm conforme especificação do fabricante;
5.        Fornecer e substituir 08 roletes do patim de freio 32mm master;
6.        Fornecer e substituir 08 travas do rolete master conforme especificação do fabricante;
7.     Fornecer e substituir tambor dianteiro e traseiro lado E/D.",True,False,False,False,,,,veiculos_manutencao_freio
2026-02-05,AC-17001,74000.0,0.0,INSPEÇÃO DE FREIOS (PRÓXIMA INSPEÇÃO: 76000),True,False,False,False,PREVENTIVA,MOTOMEC,CONCLUÍDO,MANUTENÇÃO-2026
2026-02-05,AC-17001,,,INSPEÇÃO DE FREIOS (PRÓXIMA INSPEÇÃO: 76000),True,False,False,False,,,,veiculos_manutencao_freio
2026-02-04,ABS-17101,77100.0,0.0,REPARO NOS COXINS DOS QUEBRA-ONDAS (GARANTIA),False,False,False,False,CORRETIVA,VANDERLEI,CONCLUÍDO,MANUTENÇÃO-2026
2026-02-04,AC-17002,178863.0,,TROCA DE BATERIA (CRAL) PRINCIPAL 90 AMPERES ,False,False,False,True,CORRETIVA,MOTOMEC,CONCLUÍDO,MANUTENÇÃO-2026
2026-02-03,ABS-17205,75541.0,1354401.0,"1.     Fornecer e executar TROCA DO ROLAMENTO da roda; 
2.     Fornecer e executar troca do RETENTOR;
3.     Fornecer e executar troca de BUCHA;
4.     Fornecer e executar troca das PORCAS E CALÇOS;
5.     Executar REPARO DA CAIXA DE DIREÇÃO;
6.     Executar REPARO DA BARRA CURTA E BARRA LONGA;
7.     Fornecer e executar LUBRIFICAÇÃO.",False,False,False,False,CORRETIVA,RP TRUCK,EXECUTADO,MANUTENÇÃO-2026
2026-02-03,AC-17002,178856.0,341852.0,"1.        Fornecer e substituir 02 tambores de freio traseiro conforme especificação do fabricante;
2.        Fornecer e substituir jogo de sapatas de freio traseiro;
3.        Fornecer e substituir cilindros da roda traseira LE/LD, conforme especificação do fabricante;
4.        Fornecer e substituir fluido de freio dot 4, conforme especificação do fabricante;
5.        Fornecer e substituir correia da direção hidraúlica conforme especificação do fabricante;
6.        Fornecer e substituir correia do alternado, conforme especificação do fabricante;
7.     Defletor do radiador, conforme especificação do fabricante.
",True,False,False,False,CORRETIVA,BF DIESEL,FINALIZADO NA NEO,MANUTENÇÃO-2026
2026-02-03,AC-17002,,,"1.        Fornecer e substituir 02 tambores de freio traseiro conforme especificação do fabricante;
2.        Fornecer e substituir jogo de sapatas de freio traseiro;
3.        Fornecer e substituir cilindros da roda traseira LE/LD, conforme especificação do fabricante;
4.        Fornecer e substituir fluido de freio dot 4, conforme especificação do fabricante;
5.        Fornecer e substituir correia da direção hidraúlica conforme especificação do fabricante;
6.        Fornecer e substituir correia do alternado, conforme especificação do fabricante;
7.     Defletor do radiador, conforme especificação do fabricante.
",True,False,False,False,,,,veiculos_manutencao_freio
2026-01-19,ABS-17105,77805.0,0.0,TROCA DE ÓLEO E FILTROS; REVISÃO DE FREIOS; LAVAGEM E ENGRAXAMENTO. OBS.: PRÓXIMA REVISÃO DE FREIOS AOS 87.805 KM,True,False,True,False,PREVENTIVA,PB GUARAREMA,CONCLUÍDO,MANUTENÇÃO-2026
2026-01-19,ABS-17105,,,TROCA DE ÓLEO E FILTROS; REVISÃO DE FREIOS; LAVAGEM E ENGRAXAMENTO. OBS.: PRÓXIMA REVISÃO DE FREIOS AOS 87.805 KM,True,False,True,False,,,,veiculos_manutencao_freio
2026-01-16,TP-17000,13140.0,,REPARO EM CHICOTE DO RÁDIO COMUNICADOR,False,False,False,True,CORRETIVA,VISUAL SHINE,CONCLUÍDO,MANUTENÇÃO-2026
2026-01-16,UR-17105,,,REPARO DO BLOCO SINALIZADOR DO RAY LIGHT,False,False,False,False,CORRETIVA,VISUAL SHINE,CONCLUÍDO,MANUTENÇÃO-2026
2026-01-16,UT-17003,,,REAPERTO DOS FIXADORES  DO CHICOTE DO RAY LIGHT ,False,False,False,True,CORRETIVA,VISUAL SHINE,CONCLUÍDO,MANUTENÇÃO-2026
2026-01-12,ABS-17205,75663.0,0.0,"GARANTIA (problemas na manga de eixo, embuchamento e cambagem)",False,False,False,False,CORRETIVA,RP TRUCK,FINALIZADO NA NEO,MANUTENÇÃO-2026
2026-01-08,UR-17101,51080.0,0.0,CAIXA DE DIREÇÃO (GARANTIA),False,False,False,False,CORRETIVA,J KAR,CONCLUÍDO,MANUTENÇÃO-2026
2026-01-07,AC-17001,72480.0,1720408.0,"1.        Fornecer e substituir miolo do diferencial traseiro (porquinho) conforme especificação do fabricante;
2.        Fornecer e substituir ponta de eixo traseira le conforme especificação do fabricante;
3.        Fornecer silicone cinza wurth;
4.        Fornecer e substituir oleo diferencial traseiro lt conforme especificação do fabricante;
5.     Fornecer serviço de guincho para transporte até a oficina.
",False,False,True,False,CORRETIVA,BF DIESEL,FINALIZADO NA NEO,MANUTENÇÃO-2026
2026-01-02,UR-17102,46431.0,0.0,INSPEÇÃO DE FREIOS (COMPLETADO O RESERVATÓRIO DO FLUIDO DE FREIO). OBS.: PRÓXIMA INSPEÇÃO AOS 50.000 KM,True,False,False,False,PREVENTIVA,MOTOMEC,CONCLUÍDO,MANUTENÇÃO-2026
2026-01-02,UR-17102,,,INSPEÇÃO DE FREIOS (COMPLETADO O RESERVATÓRIO DO FLUIDO DE FREIO). OBS.: PRÓXIMA INSPEÇÃO AOS 50.000 KM,True,False,False,False,,,,veiculos_manutencao_freio
2025-12-09,ABS-17103,154181.0,5552.0,PROBLEMA NO SUPORTE DA MOLA,False,False,False,False,CORRETIVA,MOLAS TIETE,CONCLUÍDO, MANUTENÇÃO-2025
2025-12-09,AC-17001,72480.0,0.0,DIAGNÓSTICO PROBLEMAS NO CARDÃ,False,False,False,False,CORRETIVA,BF DIESEL,CONCLUÍDO, MANUTENÇÃO-2025
2025-12-09,VO-17003,5832.0,0.0,REVISÃO PERIÓDICA PELO TEMPO (TROCA DO FILTRO DE CABINE; TROCA DO FILTRO DE COMBUSTÍVEL; TROCA DA VEDAÇÃO DO DRENO DO ÓLEO; TROCA DO FILTRO DE AR DO MOTOR; TROCA DO FILTRO DE ÓLEO DO MOTOR; TROCA DO ÓLEO DO MOTOR 5W30 SINTÉTICO; TROCA DO LIMPADOR DO SISTEMA DE COMBUSTÍVEL DIESEL; LUBRIFICAÇÃO.,False,False,True,False,PREVENTIVA,MITISUBISH MEGAMIT (GUARULHOS),CONCLUÍDO, MANUTENÇÃO-2025
2025-12-09,VO-17101,4641.0,0.0,REVISÃO PERIÓDICA PELO TEMPO (TROCA DO FILTRO DE CABINE; TROCA DO FILTRO DE COMBUSTÍVEL; TROCA DA VEDAÇÃO DO DRENO DO ÓLEO; TROCA DO FILTRO DE AR DO MOTOR; TROCA DO FILTRO DE ÓLEO DO MOTOR; TROCA DO ÓLEO DO MOTOR 5W30 SINTÉTICO; TROCA DO LIMPADOR DO SISTEMA DE COMBUSTÍVEL DIESEL; LUBRIFICAÇÃO.,False,False,True,False,PREVENTIVA,MITISUBISH MEGAMIT (GUARULHOS),CONCLUÍDO, MANUTENÇÃO-2025
2025-12-06,UR-17105,56505.0,0.0,INSPEÇÃO DE FREIOS (PRÓXIMA INSPEÇÃO 59.000),True,False,False,False,PREVENTIVA,MOTOMEC,CONCLUÍDO, MANUTENÇÃO-2025
2025-12-06,UR-17105,,,INSPEÇÃO DE FREIOS (PRÓXIMA INSPEÇÃO 59.000),True,False,False,False,,,,veiculos_manutencao_freio
2025-12-05,ABS-17101,74783.0,5945.0, Executar serviço de solda e reforço interno do tanque de agua.,False,False,False,False,CORRETIVA,EVR,FINALIZADO NA NEO, MANUTENÇÃO-2025
2025-12-04,ABS-17101,74743.0,377467.0, Executar reparo do cardan traseiro pós-caixa de transferência.,False,False,False,False,CORRETIVA,EVR,FINALIZADO NA NEO, MANUTENÇÃO-2025
2025-12-04,ABS-17105,76915.0,234691.0,"1.     Executar serviço de  funilaria e pintura no teto;
2.     Fornecer e executar serviço de adesivagem conforme padrão estabelecido pelo Corpo de Bombeiros.
",False,False,False,False,CORRETIVA,RARAPER,FINALIZADO NA NEO, MANUTENÇÃO-2025
2025-12-04,AC-17001,72480.0,800.0,BATERIA DE 75Ah PARA PARTIDA - G-24/09/25-B2-0957 - 2 ANOS DE GARANTIA,False,False,False,True,CORRETIVA,REI DAS BATERIAS,CONCLUÍDO, MANUTENÇÃO-2025
2025-12-04,UR-17101,50500.0,0.0,CAIXA DE DIREÇÃO (GARANTIA),False,False,False,False,CORRETIVA,J KAR,CONCLUÍDO, MANUTENÇÃO-2025
2025-12-02,UR-17101,50430.0,2600.0,COMPRA DE 01 BATERIA MOURA 92A AGM,False,False,False,True,PREVENTIVA,GM CAR,CONCLUÍDO, MANUTENÇÃO-2025
2025-11-28,ABS-17103,,182213.0,"1.     Fornecer e substituir MOLA PATIN GRANDE;
2.     Fornecer e substituir MOLA PATIN PEQUENA;
3.     Fornecer COLA JUNTA;
4      Fornecer FITA CREPE;
5.     Fornecer e substituir SAPATA DE FREIO TRASEIRA;
6.     Fornecer e substituir ROLETE DO PATIN;
7.     Fornecer e substituir TRAVA ROLETE DO PATIN;
8.     Fornecer e substituir ROLETE PATIN MASTER;
9.     Fornecer e substituir RETENTOR TRAZEIRO;
10.   Fornecer e substituir TRAVA ARANHA;
11.   Fornecer e substituir ESPELHO DE RODA TRAZ LE.",True,False,False,False,CORRETIVA,BF DIESEL,FINALIZADO NA NEO, MANUTENÇÃO-2025
2025-11-28,ABS-17103,,,"1.     Fornecer e substituir MOLA PATIN GRANDE;
2.     Fornecer e substituir MOLA PATIN PEQUENA;
3.     Fornecer COLA JUNTA;
4      Fornecer FITA CREPE;
5.     Fornecer e substituir SAPATA DE FREIO TRASEIRA;
6.     Fornecer e substituir ROLETE DO PATIN;
7.     Fornecer e substituir TRAVA ROLETE DO PATIN;
8.     Fornecer e substituir ROLETE PATIN MASTER;
9.     Fornecer e substituir RETENTOR TRAZEIRO;
10.   Fornecer e substituir TRAVA ARANHA;
11.   Fornecer e substituir ESPELHO DE RODA TRAZ LE.",True,False,False,False,,,,veiculos_manutencao_freio
2025-11-27,ABS-17103,,,REPARO NO PNEU TRASEIRO LD INTERNO,False,True,False,False,CORRETIVA,MV PNEUS,CONCLUÍDO, MANUTENÇÃO-2025
2025-11-27,ABS-17103,,,TROCA DO PRISIONEIRO DA RODA TRASEIRA LD,False,False,False,False,CORRETIVA,RE9,CONCLUÍDO, MANUTENÇÃO-2025
2025-11-24,ABS-17103,153400.0,556224.0, Fornecer e substituir conjunto de lonas do sistema de freio.,True,False,False,False,PREVENTIVA,BF DIESEL,FINALIZADO NA NEO, MANUTENÇÃO-2025
2025-11-24,ABS-17103,,, Fornecer e substituir conjunto de lonas do sistema de freio.,True,False,False,False,,,,veiculos_manutencao_freio
2025-11-24,TP-17000,9419.0,0.0,REVISÃO PERIÓDICA DOS 10.000 KM (OBS.: SERVIÇOS CONFORME O MANUAL DO PROPRIETÁRIO),False,False,False,False,PREVENTIVA,TOYOTA TSUSHO,CONCLUÍDO, MANUTENÇÃO-2025
2025-11-17,MOB-17108,59594.0,288.0,"TROCA DO ESTATOR, troca do retificador de voltagem, troca de óleo",False,False,True,False,CORRETIVA,CSM,CONCLUÍDO, MANUTENÇÃO-2025
2025-11-12,AC-17001,70753.0,135075.0,"1.        Fornecer e substituir o óleo do motor;
2.        Fornecer e substituir o filtro de óleo do motor;
3.        Fornecer e substituir o filtro de combustível;
4.        Fornecer e substituir o filtro de ar do motor;
5.        Fornecer e substituir o filtro de ar da cabine (ar condicionado);",False,False,True,False,PREVENTIVA,BF DIESEL,FINALIZADO NA NEO, MANUTENÇÃO-2025
2025-11-12,UR-17211,,,"1.     Fornecer e substituir Kit de embreagem original- conforme especificação do fabricante;
2.     Fornecer e substituir a troca do Óleo da  transmisssão;
3.     Fornecer e substituir Atuador de embreagem;
4      Fornecer e substituir Retentor volante motor;
5.     Fornecer e substituir Volante do motor.",False,False,True,False,CORRETIVA,BF DIESEL,CANCELADO NA NEO, MANUTENÇÃO-2025
2025-11-12,UR-17211,,,"1.     Fornecer e substituir Kit de embreagem original- conforme especificação do fabricante;
2.     Fornecer e substituir a troca do Óleo da  transmisssão;
3.     Fornecer e substituir Atuador de embreagem;
4      Fornecer e substituir Retentor volante motor;
5.     Fornecer e substituir Volante do motor.",False,False,True,False,CORRETIVA,MULTI SERVICE,FINALIZADO NA NEO, MANUTENÇÃO-2025
2025-11-10,TP-17001,49392.0,0.0,REVISÃO DOS 50.000,False,False,False,False,PREVENTIVA,TOYOTA TSUSHO,CONCLUÍDO, MANUTENÇÃO-2025
2025-11-07,UR-17211,74660.0,130838.0,Fornecer e substituir bateria automotiva de 100Ah para veículo a diesel conforme especificação do fabricante;,False,False,False,True,CORRETIVA,BF DIESEL,FINALIZADO NA NEO, MANUTENÇÃO-2025
2025-11-07,UR-17212,81450.0,166838.0,Fornecer e substituir bateria automotiva de 100Ah para veículo a diesel conforme especificação do fabricante;,False,False,False,True,CORRETIVA,BF DIESEL,FINALIZADO NA NEO, MANUTENÇÃO-2025
2025-11-06,MOB-17107,58296.0,,"TROCA DE ÓLEO E FILTROS, SUPORTE DO RETROVISOR",False,False,True,False,CORRETIVA,TOTAL MOTOS,CONCLUÍDO, MANUTENÇÃO-2025
2025-11-05,AT-17101,11968.0,0.0,TROCA DE LÂMPADA DO FAROL DIREITO,False,False,False,True,PREVENTIVA,MOTOMEC,CONCLUÍDO, MANUTENÇÃO-2025
2025-11-04,ABE-17101,109655.0,80.0,TROCA DE ADESIVO PREFIXO,False,False,False,False,CORRETIVA,DIGITFIX,CONCLUÍDO, MANUTENÇÃO-2025
2025-11-04,CA-17001,255995.0,110997.0,"1. Executar serviço  de funilaria e pintura na parte externa da cabine;
 2. Executar e fornecer adesivagem (grafismo), conforme padrão do Bombeiro.",False,False,False,False,CORRETIVA,MAGNIFICAR,FINALIZADO NA NEO, MANUTENÇÃO-2025
2025-11-04,CA-17001,255995.0,110997.0,"1. Executar serviço  de funilaria e pintura na parte externa da cabine;
 2. Executar e fornecer adesivagem (grafismo), conforme padrão do Bombeiro.",False,False,False,False,CORRETIVA,MAGNIFICAR,FINALIZADO NA NEO,MANUTENÇÃO-2026
2025-10-31,ABS-17103,,0.0,TROCA DO CONECTOR DE AR  DO MÓDULO DO CORPO DE BOMBA,False,False,False,False,CORRETIVA,MOTOMEC,CONCLUÍDO, MANUTENÇÃO-2025
2025-10-30,CA-17001,,480775.0,"1.        Fornecer e substituir 02 pneus TRASEIROS 7.50 R16;
2.        Executar alinhamento de direção;
3.        Executar 02 balanceamentos de rodas;",False,True,False,False,PREVENTIVA,RP TRUCK,FINALIZADO NA NEO, MANUTENÇÃO-2025
2025-10-28,UR-17101,50203.0,0.0,REPARO NO POSICIONAMENTO DO FLEXÍVEL DO FREIO DIANTEIRO (LADO PASSAGEIRO) INSPEÇÃO DE FREIO.,True,False,False,False,CORRETIVA,PEDRO VANS,CONCLUÍDO, MANUTENÇÃO-2025
2025-10-28,UR-17101,,,REPARO NO POSICIONAMENTO DO FLEXÍVEL DO FREIO DIANTEIRO (LADO PASSAGEIRO) INSPEÇÃO DE FREIO.,True,False,False,False,,,,veiculos_manutencao_freio
2025-10-28,VO-17103,133205.0,650.0,TROCA DO PARABRISA DIANTEIRO,False,False,False,False,CORRETIVA,VIDROSHIMA,CONCLUÍDO, MANUTENÇÃO-2025
2025-10-22,ABS-17102,177158.0,147557.0,"1.	Fornecer e substituir óleo motor conforme especificação do fabricante;
2.	Fornecer e substituir filtro de óleo do motor conforme especificação do fabricante;
3.	Fornecer e substituir filtro RACOR conforme especificação do fabricante;
4.	Fornecer e substituir filtro de combustível conforme especificação do fabricante;
5.	Fornecer e substituir filtro de ar conforme especificação do fabricante.",False,False,True,False,PREVENTIVA,BF DIESEL,FINALIZADO NA NEO, MANUTENÇÃO-2025
