PREFIXO;OPMCB;POSTO;Proprietário;PLACA;FABRICANTE;MODELO;TIPO;ANO FABR.;ANO MOD.;GRUPO;QFF;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
ABE-17101;17GB;SHANGHAI;ESTADO DE SAO PAULO;BFG-2897;PIERCE;TELESQUR;ABE;1992;1992;S-4;5A;;;;;;;;;;;;;;
ABS-17101;17GB; SHANGHAI;ESTADO DE SAO PAULO;GCN-6C35;VOLKSWAGEN;17. 280 CRM 4X2;ABS;2020;2021;S-4;1;;;;;;;;;;;;;;
ABS-17102;17GB; SHANGHAI;ESTADO DE SAO PAULO;EEF-7D31;FORD;CARGO 815-E;ABS;2010;2011;S-4;1;;;;;;;;;;;;;;
ABS-17103;17GB; SHANGHAI;ESTADO DE SAO PAULO;DJM-3E81;IVECO;TECTOR ATTACK 170E22;ABS;2013;2013;S-4;1;;;;;;;;;;;;;;
ABS-17105;17GB;GUARAREMA;ESTADO DE SAO PAULO;GIC-4H16;VOLKSWAGEN;17. 280 CRM 4X2;ABS;2020;2021;S-4;1;;;;;;;;;;;;;;
ABS-17106;17GB; SHANGHAI;ESTADO DE SAO PAULO;GDH-3H25;VOLKSWAGEN;17. 280 CRM 4X2;ABS;2021;2022;S-4;1;;;;;;;;;;;;;;
ABS-17201;17GB;SUZANO;ESTADO DE SAO PAULO;GGR-8E95;VOLKSWAGEN;17. 280 CRM 4X2;ABS;2022;2023;S-4;1;;;;;;;;;;;;;;
ABS-17202;17GB;FERRAZ DE VASCONCELOS;ESTADO DE SAO PAULO;DJP-9E19;IVECO;TECTOR ATTACK 170E22;ABS;2012;2013;S-4;1;;;;;;;;;;;;;;
ABS-17203;17GB;SUZANO;ESTADO DE SAO PAULO;SWV-0I18;VOLKSWAGEN;18.260 CRM 4X2;ABS;2023;2024;S-4;1;;;;;;;;;;;;;;
ABS-17204;17GB;BRAZ CUBAS;ESTADO DE SAO PAULO;FCQ-0386;IVECO;TECTOR 170E28;ABS;2014;2014;S-4;1;;;;;;;;;;;;;;
ABS-17205;17GB;ITAQUAQUECETUBA;ESTADO DE SAO PAULO;GIC-3F68;VOLKSWAGEN;17. 280 CRM 4X2;ABS;2020;2021;S-4;1;;;;;;;;;;;;;;
AC-17001;17GB; SHANGHAI;ESTADO DE SAO PAULO;GHU-6J06;FORD;RANGER XLS4STMA32;AC;2022;2023;S-4;3;;;;;;;;;;;;;;
AC-17002;17GB; SEDE;ESTADO DE SAO PAULO;GIL-8E75;MITSUBISHI;L200 TRITON HPE D;AC;2015;2016;S-4;3;;;;;;;;;;;;;;
AS-17201;17GB;SUZANO;PREFEITURA-INT;EGI-1400;FORD;F-4000 G;AS;2008;2009;CON;5B;;;;;;;;;;;;;;
AT-17101;17GB; SHANGHAI;ESTADO DE SAO PAULO;STA-3H63;VOLKSWAGEN;31 280 CRM 6X4;AT;2023;2024;S-4;4;;;;;;;;;;;;;;
AT-17205;17GB;SUZANO;ESTADO DE SAO PAULO;GIU-7B96;VOLKSWAGEN;32.360 CRC 6X4;AT;2020;2021;S-4;4;;;;;;;;;;;;;;
CA-17001;17GB; SHANGHAI;ESTADO DE SAO PAULO;BVZ-7844;M.BENZ;914;CA;1997;1997;S-4;12;;;;;;;;;;;;;;
EP-17101;17GB; SHANGHAI;ESTADO DE SAO PAULO;TLZ-5A72;TOYOTA;YARIS SA XL15;EP;2024;2025;S-4;17;;;;;;;;;;;;;;
EP-17201;17GB;SUZANO;ESTADO DE SAO PAULO;TIX-7A89;TOYOTA;YARIS SA XL15;EP;2024;2025;S-4;17;;;;;;;;;;;;;;
MO-17001;17GB;MOGI DAS CRUZES SEDE;ESTADO DE SAO PAULO;DJM-4F57;FIAT;DUCATO MINIBUS 2.3;MO;2012;2013;S-2;11;;;;;;;;;;;;;;
MO-17002;17GB; SHANGHAI;ESTADO DE SAO PAULO;STW-6I63;FORD;TRANSIT ENG15E1;MO;2023;2024;S-4;11;;;;;;;;;;;;;;
MOB-17106;17GB; BRAZ CUBAS;ESTADO DE SAO PAULO;EEF-7207;YAMAHA;LANDER XTZ-250;MT;2010;2010;S-5;16;;;;;;;;;;;;;;
MOB-17107;17GB;BRAZ CUBAS;ESTADO DE SAO PAULO;EEF-7217;YAMAHA;LANDER XTZ-250;MT;2010;2010;S-5;16;;;;;;;;;;;;;;
MOB-17108;17GB;BRAZ CUBAS;ESTADO DE SAO PAULO;EEF-7208;YAMAHA;LANDER XTZ-250;MT;2010;2010;S-5;16;;;;;;;;;;;;;;
MOB-17205;17GB;SUZANO;ESTADO DE SAO PAULO;EEF-7C11;YAMAHA;LANDER XTZ-250;MT;2010;2010;S-5;16;;;;;;;;;;;;;;
MOB-17206;17GB;SUZANO;ESTADO DE SAO PAULO;GCC-9F64;YAMAHA;LANDER XTZ-250;MOB;2022;2022;S-5;8;;;;;;;;;;;;;;
MOB-17207;17GB;SUZANO;ESTADO DE SAO PAULO;FSP-3D32;YAMAHA;LANDER XTZ-250;MOB;2022;2022;S-5;8;;;;;;;;;;;;;;
TP-17000;17GB;MOGI DAS CRUZES SEDE;ESTADO DE SAO PAULO;TIZ-0D86;TOYOTA;YARIS SA XL15;TP;2024;2025;S-4;7;;;;;;;;;;;;;;
TP-17001;17GB;MOGI DAS CRUZES SEDE;ESTADO DE SAO PAULO;SWH-6I87;TOYOTA;YARIS SA XL15;TP;2023;2024;S-1;7;;;;;;;;;;;;;;
TP-17101;17GB; SHANGHAI;PREFEITURA-INT;DBS-3679;VOLKSWAGEN;GOL 1.6 POWER FLEX;TP;2010;2010;CON;14;;;;;;;;;;;;;;
TP-17200;17GB;SUZANO;ESTADO DE SAO PAULO;TKK-3G59;TOYOTA;YARIS SA XL15;TP;2024;2025;S-4;7;;;;;;;;;;;;;;
TP-17203;17GB;SUZANO;ESTADO DE SAO PAULO;FHN-0083;RENAULT;LOGAN DYNA 16 M;TP;2015;2016;S-1;7;;;;;;;;;;;;;;
UR-17101;17GB;GUARAREMA;ESTADO DE SAO PAULO;FVY-9I93;M.BENZ;416SPRINTER REV AMB;UR;2022;2022;S-4;2;;;;;;;;;;;;;;
UR-17102;17GB; BRAZ CUBAS;ESTADO DE SAO PAULO;FYC-1A73;M.BENZ;417 FLASH AMB;UR;2022;2023;S-4;2;;;;;;;;;;;;;;
UR-17105;17GB;GUARAREMA;ESTADO DE SAO PAULO;FKG-0E65;M.BENZ;416SPRINTER REV AMB;UR;2021;2022;S-4;2;;;;;;;;;;;;;;
UR-17208;17GB;SUZANO;SAUDE;BZF-1518;M.BENZ;SPRINTER;UR;2018;2019;S-4;2;;;;;;;;;;;;;;
UR-17210;17GB;FERRAZ DE VASCONCELOS;PREFEITURA-INT;EWZ-1B95;RENAULT;MASTER ALTER AM2;UR;2021;2022;CON;2;;;;;;;;;;;;;;
UR-17211;17GB;SUZANO;ESTADO DE SAO PAULO;FQO-1D01;M.BENZ;416SPRINTER REV AMB;UR;2021;2022;S-4;2;;;;;;;;;;;;;;
UR-17212;17GB;ITAQUAQUECETUBA;ESTADO DE SAO PAULO;GJH-1F17;M.BENZ;416SPRINTER REV AMB;UR;2021;2022;S-4;2;;;;;;;;;;;;;;
UR-17213;17GB;ITAQUAQUECETUBA;ESTADO DE SAO PAULO;FYT-2A23;M.BENZ;416SPRINTER REV AMB;UR;2022;2022;S-4;2;;;;;;;;;;;;;;
UR-17214;17GB;SUZANO;ESTADO DE SAO PAULO;GGT-3F22;M.BENZ;417 FLASH AMB;UR;2022;2023;S-4;2;;;;;;;;;;;;;;
UT-17003;17GB;GUARAREMA;ESTADO DE SAO PAULO;DJL-7263;FIAT;DUCATO MAXICARGO 2.8;UT;2010;2011;S-4;12;;;;;;;;;;;;;;
UT-17004;17GB;FERRAZ DE VASCONCELOS;SAUDE;FPF-6349;RENAULT;MASTER 2.3 CC;UT;2014;2015;S-4;12;;;;;;;;;;;;;;
VO-17001;17GB; SHANGHAI;ESTADO DE SAO PAULO;FFY-5I31;FIAT;TORO FREEDOM AT;VO;2024;2025;S-4;7;;;;;;;;;;;;;;
VO-17003;17GB;MOGI DAS CRUZES SEDE;ESTADO DE SAO PAULO;TKX-5J89;MITSUBISHI;L200 TRITON SPO GL;VO;2024;2025;S-4;9;;;;;;;;;;;;;;
VO-17004;17GB;MOGI DAS CRUZES SEDE;ESTADO DE SAO PAULO;EXM-2C24;FIAT;STRADA VOLCANO 13CD;VO;2021;2022;S-2;7;;;;;;;;;;;;;;
VO-17007;17GB;SUZANO;ESTADO DE SAO PAULO;DJL-3120;FORD;COURIER L 1.6 FLEX;VO;2010;2011;S-2;7;;;;;;;;;;;;;;
VO-17100;17GB; SHANGHAI;ESTADO DE SAO PAULO;GAW-5G93;FIAT;STRADA VOLCANO AT;VO;2023;2023;S-4;7;;;;;;;;;;;;;;
VO-17101;17GB; SHANGHAI;PREFEITURA-INT;TKX-6F66;MITSUBISHI;L200 TRITON SPO GL;VO;2024;2025;S-4;9;;;;;;;;;;;;;;
VO-17102;17GB;GUARAREMA;PREFEITURA-INT;EFC-7492;FIAT;TORO FREEDOM AT;VO;2019;2019;CON;9;;;;;;;;;;;;;;
VO-17103;17GB; SHANGHAI;ESTADO DE SAO PAULO;DIW-1J93;FIAT;STRADA VOLCANO 13CD;VO;2021;2022;S-2;7;;;;;;;;;;;;;;
VO-17202;17GB;SUZANO;PREFEITURA-INT;BPZ-6025;VOLKSWAGEN;SAVEIRO 1.8;VO;1997;1997;CON;9;;;;;;;;;;;;;;
VO-17203;17GB;SUZANO;PREFEITURA-INT;TKX-3B23;MITSUBISHI;L200 TRITON SPO GL;VO;2024;2025;S-4;9;;;;;;;;;;;;;;
VO-17204;17GB;SUZANO;ESTADO DE SAO PAULO;GJP-2D64;FIAT;STRADA FREEDOM 13CS;VO;2022;2023;S-4;9;;;;;;;;;;;;;;
VO-17205;17GB;SUZANO;ESTADO DE SAO PAULO;ECE-0I01;FIAT;STRADA VOLCANO 13CD;VO;2021;2022;S-2;7;;;;;;;;;;;;;;
VO-17206;17GB;SUZANO;ESTADO DE SAO PAULO;BIF-2I64;CHEVROLET;S10 LT DD4A;VO;2021;2022;S-4;9;;;;;;;;;;;;;;
VO-28;17GB; SHANGHAI;PREFEITURA-INT;CPV-0475;TOYOTA;BANDEIRA;VO;1977;1977;CON;14;;;;;;;;;;;;;;
